Count,Sl.No.,Name of the Issuer,Initial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
1,1,A & D INTERNATIONAL PRIVATE LIMITED,SMERA B/SMERA A4,20-Jan-15,Indicative,20-Jul-17,,,,,,,,
2,2,A A ENERGY LIMITED,SMERA C,18-Apr-16,,,,,,,,,,
3,3,A B POLYPACKS PRIVATE LIMITED,SMERA BBB-/SMERA A3,19-Mar-18,,,,,,,,,,
4,4,A B S CONSTRUCTION CO,SMERA B+,25-Oct-17,,,,,,,,,,
5,5,A G RICE MILLS,SMERA B,30-Aug-13,Suspended,31-Oct-14,,,,,,,,
6,6,A H MINERALS,SMERA BB-,28-Feb-18,,,,,,,,,,
7,7,A J B LEATHERS,SMERA BB,29-Dec-17,,,,,,,,,,
8,8,A K CAPITAL FINANCE PRIVATE LIMITED,SMERA Provisional AA(SO),01-Mar-17,SMERA AA(SO),22-Jun-17,,,,,,,,
9,9,A K CAPITAL FINANCE PRIVATE LIMITED,SMERA Provisional AA(SO),08-Mar-17,SMERA AA(SO),22-Jun-17,,,,,,,,
10,10,A K CAPITAL FINANCE PRIVATE LIMITED,SMERA Provisional AA(SO),31-May-17,SMERA AA(SO),07-Feb-18,,,,,,,,
11,11,A K CAPITAL FINANCE PRIVATE LIMITED,SMERA Provisional AA(SO),21-Jun-17,SMERA AA(SO),07-Feb-18,,,,,,,,
12,12,A K CAPITAL FINANCE PRIVATE LIMITED,SMERA Provisional AA(SO),07-Feb-18,,,,,,,,,,
13,13,A K M CASHEWS,SMERA BB-,20-Oct-15,,,,,,,,,,
14,14,A K MULTIMETALS PRIVATE LIMITED,SMERA BB-/SMERA A4+,19-Mar-16,Indicative,12-Jun-17,,,,,,,,
15,15,A K VENEERS PRIVATE LIMITED,SMERA BB-/SMERA A4,20-Apr-17,,,,,,,,,,
16,16,A L OVERSEAS,SMERA BB,18-Jul-16,Indicative,26-Sep-17,,,,,,,,
17,17,A M INDUSTRIES,SMERA BB-/SMERA A4+,10-Sep-15,SMERA BB,16-Feb-18,,,,,,,,
18,18,A M RICE MILLS,SMERA BB-/SMERA A4+,25-Mar-17,,,,,,,,,,
19,19,A ONE DIAGNOSTIC CENTRE,SMERA B,14-Jun-17,,,,,,,,,,
20,20,A ONE STEELS INDIA PRIVATE LIMITED,SMERA B,18-Feb-15,Suspended,16-May-16,,,,,,,,
21,21,A P A TEXTILES INDIA PRIVATE LIMITED,SMERA BB-,16-Aug-17,,,,,,,,,,
22,22,A P STEELS AND ALLOYS,SMERA B-/SMERA A4,06-Jul-15,SMERA D,23-Dec-16,Indicative,21-Feb-18,,,,,,
23,23,A S CARGO MOVERS PRIVATE LIMITED,SMERA BB,23-Jan-18,,,,,,,,,,
24,24,A S INDUSTRIES,SMERA BB-/SMERA A4,19-Jan-15,Suspended,09-Apr-16,SMERA B+/SMERA A4,22-Oct-16,SMERA D,19-Jan-18,,,,
25,25,A V PROPERTIES INDIA PRIVATE LIMITED,SMERA C,27-Nov-14,Suspended,24-Feb-16,,,,,,,,
26,26,AADHAR RICE MILL PRIVATE LIMITED,SMERA BB+,13-Jan-17,Indicative,29-Jan-18,SMERA BB+,16-Mar-18,,,,,,
27,27,AADHI CARS PRIVATE LIMITED,SMERA B+/SMERA A4,29-Dec-15,,,,,,,,,,
28,28,AADITYA FOAM INDUSTRIES LLP,SMERA B/SMERA A4,03-May-17,,,,,,,,,,
29,29,AADITYA PAPTECH PRIVATE LIMITED,SMERA BB-/SMERA A4,10-Oct-17,,,,,,,,,,
30,30,AAHELI HEALTHCARE PRIVATE LIMITED,SMERA D,21-Nov-17,,,,,,,,,,
31,31,AAKASH OIL FIELD SERVICES PRIVATE LIMITED,SMERA BB+/SMERA A4+,16-Feb-17,,,,,,,,,,
32,32,AAREY DRUG AND PHARMACEUTICALS LIMITED,SMERA BBB-,04-Aug-17,,,,,,,,,,
